id,content_id,parent_id,content_type,content,content_order,creation_date,change_date
1,1,0,question,"Question 1",1,,
2,2,0,question,"Question 2",2,,
3,3,0,question,"Question 3",3,,
4,4,0,question,"Question 4",4,,
5,5,1,background,"Background 1.1",1,,
7,7,1,background,"Background 1.3",3,,
8,8,1,background,"Background 1.4",4,,
9,9,2,background,"Background 2.5",1,,
10,10,2,background,"Background 2.6",2,,
11,11,3,background,"Background 3.7",1,,
13,13,4,background,"Background 4.9",2,,
14,14,1,discussion,"Discussion Question 1.1",1,,
15,15,1,discussion,"Discussion Question 1.2",2,,
16,16,2,discussion,"Discussion Question 2.3",1,,
17,17,2,discussion,"Discussion Question 2.4",2,,
18,18,2,discussion,"Discussion Question 2.5",3,,
19,19,3,discussion,"Discussion Question 3.6",1,,
20,20,4,discussion,"Discussion Question 4.7",1,,
21,21,0,question,Question5,1,,
22,1,0,question,"Question 1",1,,
23,2,0,question,"Question 2",2,,
24,3,0,question,"Question 3",3,,
25,4,0,question,"Question 4",4,,
26,5,1,background,"Background 1.1",1,,
27,6,1,background,"Background 1.2",2,,
28,7,1,background,"Background 1.3",3,,
29,8,1,background,"Background 1.4",4,,
30,9,2,background,"Background 2.5",1,,
31,10,2,background,"Background 2.6",2,,
32,11,3,background,"Background 3.7",1,,
33,12,4,background,"Background 4.8",1,,
34,13,4,background,"Background 4.9",2,,
35,14,1,discussion,"Discussion Question 1.1",1,,
36,15,1,discussion,"Discussion Question 1.2",2,,
37,16,2,discussion,"Discussion Question 2.3",1,,
38,17,2,discussion,"Discussion Question 2.4",2,,
39,18,2,discussion,"Discussion Question 2.5",3,,
40,19,3,discussion,"Discussion Question 3.6",1,,
41,20,4,discussion,"Discussion Question 4.7",1,,
